NewPhdGrantInst,Count
"Carnegie Mellon University, Pittsburgh, United States",209
"Massachusetts Institute of Technology, Cambridge, United States",195
"Stanford University, Palo Alto, United States",173
"University of California, Berkeley, Berkeley, United States",137
"Georgia Institute of Technology, Atlanta, United States",107
"University of Washington, Seattle, Seattle, United States",96
"University of Maryland, College Park, United States",86
"University of Michigan, Ann Arbor, Ann Arbor, United States",83
"University of Pennsylvania, Philadelphia, United States",80
"Cornell University, Ithaca, United States",78
